,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000243485,0.0,,,,,
ENSG00000237613,0.0,,,,,
ENSG00000186092,0.0,,,,,
ENSG00000238009,0.07183968873936179,0.024804229349410352,0.019882620523067645,1.2475332072365763,0.2122020520207244,
ENSG00000239945,0.0011832241417098427,0.03048598246367362,0.14921405165729315,0.20431039922226754,0.8381109439672856,
ENSG00000239906,0.0,,,,,
ENSG00000241860,0.06945108377783087,0.02062494173307877,0.018059907551548585,1.1420291977801535,0.2534418833613613,
ENSG00000241599,0.0,,,,,
ENSG00000286448,0.0,,,,,
ENSG00000236601,0.0,,,,,
ENSG00000284733,0.0,,,,,
ENSG00000235146,0.0,,,,,
ENSG00000284662,0.0,,,,,
ENSG00000229905,0.0009753599283029228,0.03067314147280119,0.14921775396408338,0.20555959768824958,0.837134939849275,
ENSG00000237491,1.9536269471085888,-0.011709896427409463,0.003399616196456688,-3.444476008678367,0.000572167410896577,0.007686944781175752
ENSG00000177757,0.0009894128677626244,0.03013121173355936,0.14920588547609256,0.20194385521332078,0.8399606167986744,
ENSG00000228794,0.8191829514719101,0.0027134365041956462,0.004903071003668404,0.5534157066388583,0.5799787861727972,0.7900566872917116
ENSG00000225880,0.3673507672784345,0.011905154728100454,0.007365374018555291,1.616367980513722,0.10601477691340767,
ENSG00000288531,0.7851295668346538,-0.02457244206852519,0.0069856768731584576,-3.51754633297477,0.00043555630495721093,0.00615047653209739
ENSG00000230368,1.8601427209257242,0.0017281300505980306,0.0035825945511134575,0.48236830206223974,0.6295443345843617,0.8187661276483416
ENSG00000272438,0.00034085144743321004,0.030767621232091657,0.14921756092637237,0.20619303144402126,0.8366401309981941,
ENSG00000230699,0.012670038762721415,0.02860052934979589,0.08334578506445317,0.34315507770043147,0.7314817978091068,
ENSG00000241180,0.0,,,,,
ENSG00000223764,0.0,,,,,
ENSG00000187634,0.006385822406366825,0.021693058493733534,0.12015261439073867,0.1805458716294535,0.856724045671866,
ENSG00000188976,6.850111437165462,-0.00027787270714778957,0.001706403572806023,-0.1628411423745753,0.8706435136604422,0.9440582882151518
ENSG00000187961,0.16489008189270019,0.0267176179644266,0.010514524948168052,2.541019979136729,0.011052960333024359,
ENSG00000187583,0.038882873209858504,0.028083664409411072,0.03794538588968837,0.7401074926752237,0.4592347726722654,
ENSG00000187642,0.0,,,,,
ENSG00000272512,0.0011654890728162782,0.030732692768072386,0.1492180342721777,0.20595830067038096,0.8368234841837222,
ENSG00000188290,0.2189721749971329,0.013222651648756249,0.01005868243528639,1.3145510591298208,0.1886608273960504,
ENSG00000187608,11.928855579343677,0.0030058769149609124,0.002559945085462152,1.1741958575717866,0.24031658488910512,0.496024762444978
ENSG00000224969,0.004564052718417913,0.03009223626127911,0.14921349544223975,0.20167234989095043,0.8401728800237143,
ENSG00000188157,0.08528231908098954,0.031830922466202935,0.017917112005641982,1.77656546748045,0.0756397615387801,
ENSG00000242590,0.0,,,,,
ENSG00000273443,0.0,,,,,
ENSG00000237330,0.0034728005974108533,0.030647909911870767,0.14921143673720622,0.20539920117415933,0.837260244342015,
ENSG00000131591,0.5583227853256678,0.00524092281038922,0.006265340626502776,0.8364944737752635,0.4028767843451999,0.656923733572321
ENSG00000285812,0.003880702730453665,0.03080271136841775,0.14921404668953867,0.20643305407102344,0.8364526534102456,
ENSG00000223823,0.0786775074573652,0.020285111201699263,0.017217392228211476,1.178175587384319,0.23872661289200192,
ENSG00000272141,0.006172717396459426,0.02910016220755087,0.14919756667927506,0.1950444826630886,0.8453581241601908,
ENSG00000205231,0.004896101032520129,0.031541334810265415,0.1492102133848299,0.21138857786441717,0.8325840689153322,
ENSG00000162571,0.13899924198648864,0.021777084890851804,0.012612642492876696,1.7266076401635069,0.08423815287712001,
ENSG00000186891,1.1866556914448065,0.004738875025152055,0.005605342587604647,0.8454211229892261,0.39787575498957317,0.6536075565772886
ENSG00000186827,0.484418843886624,-0.003405270177481787,0.006387553316866183,-0.5331102549845261,0.5939572606535004,0.7983770445785153
ENSG00000078808,8.011600409189468,-0.0013600686211232037,0.0015858658730090432,-0.8576189476494575,0.3911029089596244,0.6479216673771345
ENSG00000176022,0.7050525515956362,0.008781071160030726,0.006359516806637528,1.380776468876658,0.16734770078783778,0.40621663915317235
ENSG00000184163,0.10362008203336343,0.02376393312526834,0.014317607601559595,1.6597698293309677,0.09696076544360142,
ENSG00000260179,0.09210573297480136,0.024485880666621416,0.013608789653308643,1.7992695375865608,0.07197605432171932,
ENSG00000160087,6.994498541949062,-0.0027223514032623814,0.0017302275764799057,-1.5734065508312618,0.11562471112630257,0.32355210669034445
ENSG00000230415,0.03371449272832198,0.029457287300407302,0.03789661640216055,0.7773065275222801,0.436977944809395,
ENSG00000162572,0.10360101531058752,0.025075973624202816,0.01528532691781924,1.6405258297073055,0.10089588241670513,
ENSG00000131584,2.751841350562496,0.015590379185317537,0.003124880511290955,4.989112104922315,6.065744059625087e-07,2.8835614068063875e-05
ENSG00000169972,1.2029325328492517,-0.0008858175794078396,0.00398102273719443,-0.222510052789125,0.823916848419057,0.9234126743642642
ENSG00000127054,4.5957155109136165,-0.00013495779804426593,0.0021504975263769107,-0.0627565465149074,0.9499603684819974,0.9772968030144922
ENSG00000240731,0.0031926769548131953,0.0300131948685506,0.14921342869310653,0.2011427197365727,0.8405869790253522,
ENSG00000224051,2.242911956340876,0.0005427351718897682,0.0032888368857583858,0.16502343860225124,0.868925533639531,0.9434613121555303
ENSG00000169962,0.22829930410920196,0.02428473740089345,0.011398021601159585,2.130609876930118,0.0331212951934265,
ENSG00000107404,0.2915637284471072,0.016954319645710904,0.00817628796150397,2.0735961998325068,0.038116828435710834,
ENSG00000162576,0.018309238140429982,0.018547984230544805,0.07258332468106714,0.25554057095131827,0.7983056123694998,
ENSG00000175756,18.021050637362922,-0.0027109580797179005,0.0010844422415689692,-2.499863963059656,0.012424100455315615,0.07531886865755676
ENSG00000221978,4.506169482506094,-0.0043856127370247465,0.0020901075255576563,-2.0982713489128426,0.035881181975935844,0.15299013711005763
ENSG00000224870,2.3838333237412184,0.0020841472408760437,0.0028993140181170027,0.7188415010767342,0.4722385836738854,0.7147872871456332
ENSG00000242485,11.288476740267031,-0.0003882192255782694,0.0015332733971919448,-0.2531963486024467,0.8001164880007743,0.9125083684703845
ENSG00000272455,0.05083900760317776,0.02865735345497797,0.029983894837690553,0.9557582031989691,0.33919440942487467,
ENSG00000235098,0.0642444667566425,0.021817820586429504,0.017938013491979612,1.2162896742264475,0.22387459360162232,
ENSG00000225905,0.0,,,,,
ENSG00000205116,0.0066363471766394564,0.029699165503708557,0.149204205991736,0.1990504577689553,0.8422232746339892,
ENSG00000225285,0.0005280633522555655,0.030729282287445526,0.14921859298412316,0.20593467390967235,0.8368419400387804,
ENSG00000179403,0.0011543611756292095,0.030475037043711118,0.14921746205546493,0.20423237752417597,0.8381719109356768,
ENSG00000215915,0.4225876253049153,0.012105782193035748,0.007664681866229458,1.57942396100923,0.11423884497782313,0.32159520507422557
ENSG00000160072,1.1526615918565282,-0.005700488824543476,0.004088772495963249,-1.394180974894406,0.16326296155189546,0.39945055287941633
