,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000243485,0.0,,,,,
ENSG00000237613,0.0,,,,,
ENSG00000186092,0.0,,,,,
ENSG00000238009,0.1077061910350628,-0.03565605726882079,0.01382720483833663,-2.5786887289007647,0.00991761078776171,0.10853083068644123
ENSG00000239945,0.0007815380148260214,-0.037907857632894046,0.14912766941399572,-0.2541973450121951,0.7993431016304964,
ENSG00000239906,0.0,,,,,
ENSG00000241860,0.2018197879856099,-0.014037289349403983,0.01126478943349164,-1.2461208824436036,0.21272001940135854,0.42850311956550335
ENSG00000241599,0.0,,,,,
ENSG00000286448,0.0,,,,,
ENSG00000236601,0.0,,,,,
ENSG00000284733,0.0,,,,,
ENSG00000235146,0.0,,,,,
ENSG00000284662,0.0,,,,,
ENSG00000229905,0.0,,,,,
ENSG00000237491,3.4662978057742486,-0.006100416226545177,0.003277330380305903,-1.8613980034493103,0.06268799233108381,0.2104849791578355
ENSG00000177757,0.009920839695795592,-0.0353665186913002,0.0912303340093394,-0.38766183501728346,0.6982663025492266,
ENSG00000228794,3.0175580504846407,-0.005689709170741348,0.003510642530320175,-1.6207030825842696,0.10508133221808023,0.28166748206917497
ENSG00000225880,0.8697250675121575,-0.002826106351527265,0.006053656532230831,-0.4668428637271592,0.6406123062095409,0.8072961967096507
ENSG00000288531,0.020339077983152112,-0.03572809438435629,0.06544297208267982,-0.5459424174564974,0.5851055196583761,
ENSG00000230368,2.851630544047479,9.578586282515741e-05,0.003470295337708996,0.027601645826603585,0.9779798689869629,0.9890299342227632
ENSG00000272438,0.0,,,,,
ENSG00000230699,0.02156016107923411,-0.036171804605564885,0.05647098649885379,-0.6405378557765955,0.5218229863462974,
ENSG00000241180,0.0018730834409434454,-0.037935140960204804,0.14912590445138,-0.254383308518829,0.799199444802792,
ENSG00000223764,0.0,,,,,
ENSG00000187634,0.02243415947622465,-0.03676634701003615,0.05194524484040799,-0.7077904266885996,0.47907541227089034,
ENSG00000188976,20.515057082815897,0.000775847590480749,0.0013086599212752588,0.5928565381025068,0.553277166461115,0.7461955864454537
ENSG00000187961,0.7073817146699855,-0.009210667306088535,0.006742138048689054,-1.3661344872461434,0.17189675545819838,0.37626129708285166
ENSG00000187583,0.4921014483989651,-0.007472823657713518,0.008228442914403679,-0.9081698366810725,0.36378849778760225,0.5888870940527071
ENSG00000187642,0.023711814642211403,-0.035046523114098144,0.04634649788067226,-0.7561849269459795,0.4495383286699025,
ENSG00000272512,0.0016730710774688065,-0.03770560911985904,0.14912541461046175,-0.2528449575033996,0.8003880250965039,
ENSG00000188290,0.4135426162887553,-0.009275982669587771,0.00869957936647514,-1.0662564566436246,0.2863077273232648,0.5117130894694413
ENSG00000187608,49.917298613088846,0.003274594386413008,0.00173338484628568,1.88913292592228,0.058874019516153675,0.20357012992949056
ENSG00000224969,0.037932018169851686,-0.03352804981309597,0.03711612759010154,-0.9033283370336707,0.3663516614086302,
ENSG00000188157,0.22369283679111818,-0.01958380834183589,0.010921368350771173,-1.7931643465219311,0.07294664917668248,0.22840289754201862
ENSG00000242590,0.0,,,,,
ENSG00000273443,0.004216824203089079,-0.0375129347227882,0.14912623982240794,-0.25155153625184784,0.8013877225871487,
ENSG00000237330,0.0007790327404272998,-0.03745415811013336,0.14912938560204878,-0.2511520982865151,0.801696517778347,
ENSG00000131591,1.9710177891294933,0.003734916754275836,0.004142888698405253,0.9015247635577416,0.3673093733287992,0.5917935705501366
ENSG00000285812,0.02024726534087955,-0.03671772588377787,0.056759826525228575,-0.6468963725154727,0.5176990137043449,
ENSG00000223823,0.0037707691242337333,-0.03796321689678631,0.14911633786469514,-0.25458791062340397,0.7990413975079403,
ENSG00000272141,0.0040573290014173724,-0.0377787506534542,0.14912586835713976,-0.25333465662026067,0.8000096172518559,
ENSG00000205231,0.009572345412324712,-0.03817579229202972,0.1174987735733397,-0.324903751171508,0.7452539177636612,
ENSG00000162571,0.09547630922557952,-0.04016943530070405,0.01873167983773332,-2.1444651867146614,0.03199563198334793,
ENSG00000186891,2.710831834784392,-0.008116827429124474,0.00475130249810063,-1.7083373311569279,0.0875737682378244,0.25184980729878914
ENSG00000186827,3.4681032731813057,-0.009958968671800817,0.004200075690261389,-2.3711402856125736,0.017733298884996862,0.13022900071280627
ENSG00000078808,27.698919103189493,0.0012523913717704333,0.0012582493741189783,0.9953443232565509,0.31956882758774985,0.5459010456437925
ENSG00000176022,1.9507351319210369,0.0007162466568722684,0.005153338043867724,0.13898693444428212,0.8894604736385997,0.9481607498278392
ENSG00000184163,0.33552303905408914,-0.014178292008920852,0.008969119240164901,-1.580789777599186,0.1139261126419814,0.29518675919870424
ENSG00000260179,0.20171353354530863,-0.02739416591628883,0.011580898547437995,-2.3654611776518113,0.018007631176249112,0.13050118652611983
ENSG00000160087,23.077568558422936,0.0009106844486794258,0.0012555987245702613,0.7252989596585604,0.4682686438415621,0.6804074108976718
ENSG00000230415,0.0857140303241232,-0.030519723773497195,0.016526085087944925,-1.8467606581403861,0.06478183606957577,
ENSG00000162572,0.32272851005820385,-0.02074911918263407,0.009474350045977865,-2.190030881479059,0.028521997256779834,0.15107058504530424
ENSG00000131584,6.464689974618165,0.00040585398673391665,0.0023551368576275183,0.17232713479876477,0.8631803529635654,0.9361508607816194
ENSG00000169972,3.68882430492115,0.00033266633474500886,0.003020299506586196,0.11014349206745298,0.9122955762826906,0.959382984710195
ENSG00000127054,15.100934837458555,0.0008920587131696591,0.0015051026726683391,0.5926896080704994,0.5533888973769209,0.7461955864454537
ENSG00000240731,0.003374931424886065,-0.036471023357326465,0.14912754333378847,-0.24456262432818515,0.8067951067774539,
ENSG00000224051,5.577153382248192,0.001280796979406719,0.002485437603046605,0.5153205125072304,0.6063290672974989,0.7841660661551515
ENSG00000169962,0.06685709632895735,-0.030153094335215694,0.01756606936444785,-1.7165532999797242,0.08606082142446635,
ENSG00000107404,1.012836551537988,0.0016672891994474182,0.005802955134032408,0.28731726524461987,0.7738694039772964,0.8881959163580535
ENSG00000162576,1.2573778285684287,-0.0033721563546078425,0.00761770591521435,-0.4426734757340597,0.6580019304117821,0.818155245273534
ENSG00000175756,56.70680980062237,0.0011373998107804316,0.0007957765029430005,1.4292955453874476,0.15291930581355154,0.3499254685974479
ENSG00000221978,13.494091083420185,0.0023721473173442843,0.0016629353442183285,1.4264819889671203,0.15372926221139896,0.3511634466144043
ENSG00000224870,6.969665130948249,-0.0026671647667015756,0.0022078894979289266,-1.2080155140026094,0.22704129495310144,0.4444381570871056
ENSG00000242485,47.58977821708881,0.0024497029629841345,0.0009707072440470708,2.5236269513873593,0.011615111337927995,0.11304200438464285
ENSG00000272455,0.12376196642150956,-0.02518234656235964,0.012932702705449134,-1.947183596182813,0.05151272759309892,0.19076144770016049
ENSG00000235098,0.024164946370766188,-0.0357860448830625,0.06194169015600931,-0.577737623770518,0.563441273678396,
ENSG00000225905,0.0,,,,,
ENSG00000205116,0.010009485271594362,-0.036441089509774316,0.14465966619877937,-0.2519091220610172,0.8011113085373398,
ENSG00000225285,0.0,,,,,
ENSG00000179403,0.0011841348260130155,-0.03760885413903114,0.14912878613799077,-0.25219043963940796,0.8008938673737652,
