,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000243485,0.0,,,,,
ENSG00000237613,0.0,,,,,
ENSG00000186092,0.001403999110389334,0.03238278777181116,0.14987023242139919,0.2160721795690456,0.8289314849725539,
ENSG00000238009,0.09340272958686718,0.02550212734237735,0.015015789511793897,1.6983540773761605,0.0894409539236954,
ENSG00000239945,0.0016772886483242453,0.0328524015654337,0.1498946678421013,0.21916991470330585,0.8265176903316688,
ENSG00000239906,0.0,,,,,
ENSG00000241860,0.1431864484625658,0.017564621227481366,0.012455725947178921,1.4101643936264954,0.15849114687423949,
ENSG00000241599,0.0,,,,,
ENSG00000286448,0.0,,,,,
ENSG00000236601,0.0,,,,,
ENSG00000284733,0.0,,,,,
ENSG00000235146,0.0,,,,,
ENSG00000284662,0.0,,,,,
ENSG00000229905,0.0,,,,,
ENSG00000237491,2.8838970233425605,-0.0018876166033257307,0.0030566363066823277,-0.6175470072115152,0.5368739857724125,0.8301282805007709
ENSG00000177757,0.014615673378289814,0.033390993540408954,0.08145918346725753,0.40991073221143254,0.6818714323187014,
ENSG00000228794,2.1343502254597166,0.00019817611584001726,0.0033949647076756094,0.058373542261563056,0.9534510890430853,0.9869574417314243
ENSG00000225880,0.9254559116959786,0.004106778054923111,0.0056395023508253855,0.7282163920584326,0.46648113304668315,
ENSG00000288531,0.03549423065269081,0.03275411521765556,0.09597661673543266,0.341271825698388,0.7328989559603979,
ENSG00000230368,2.3902613292146335,-0.0018505631511807703,0.00326084372327361,-0.5675105304718382,0.570367374175604,0.8458985026019754
ENSG00000272438,0.0007702916295816554,0.0322751039503049,0.14988509685346552,0.2153323087341933,0.8295082416761316,
ENSG00000230699,0.01786165317136791,0.029937775828095963,0.07576895323753347,0.3951193008334417,0.6927548453628911,
ENSG00000241180,0.0,,,,,
ENSG00000223764,0.0005244305257868331,0.03288731343368553,0.14991336494580368,0.21937546025716173,0.8263575843353994,
ENSG00000187634,0.011415106641732507,0.03353000746250231,0.0944739923721411,0.3549125703339047,0.7226550909821752,
ENSG00000188976,17.837403606901308,-0.0002433395987326244,0.0012478157215924622,-0.19501244816989038,0.8453832024827737,0.9536014040455212
ENSG00000187961,0.5508169242751144,0.0007243766513059719,0.007097538722366488,0.10206026055528832,0.918708843732948,
ENSG00000187583,0.33206157564666766,0.028267703379446965,0.008975134328606717,3.149557694011159,0.0016351781827977961,
ENSG00000187642,0.012076489983636664,0.029601105733840886,0.07707799864064577,0.38404092290781466,0.7009481167259316,
ENSG00000272512,0.01622218574294649,0.03158159398556266,0.08153960348740923,0.3873160112979856,0.6985222735023717,
ENSG00000188290,1.9108750149342715,0.0002128928334953306,0.005788085424400791,0.0367812182933306,0.970659449545173,
ENSG00000187608,49.72715390156803,-0.0008866777260623703,0.0017296053168156529,-0.5126474331697926,0.6081979668515534,0.8646074956674644
ENSG00000224969,0.019739617825217316,0.028385243118671133,0.046797200898769674,0.6065585670406496,0.5441439038324916,
ENSG00000188157,0.1616771233696798,0.017687287871752822,0.011288755092473571,1.5668058813274524,0.11716007227019024,
ENSG00000242590,0.0,,,,,
ENSG00000273443,0.0005699680356253667,0.033038872315252474,0.14988623304117546,0.2204263303233214,0.8255391410232846,
ENSG00000237330,0.0014205538770230405,0.0329938170863833,0.1498965222641164,0.22011062423615455,0.8257850007653759,
ENSG00000131591,1.5511160128815302,0.0001731376678958552,0.0039563461240431684,0.04376201233852563,0.9650941078197269,
ENSG00000285812,0.017262342729360145,0.033378869624892726,0.07192781125487847,0.4640606886620482,0.6426042655270903,
ENSG00000223823,0.0016091386756939652,0.033655899795121035,0.1499061258698219,0.22451317182559793,0.822358018867622,
ENSG00000272141,0.0065238023046585,0.03214965716393189,0.12822436147543909,0.25072971153059737,0.8020230877875608,
ENSG00000205231,0.007909283164531362,0.03167825292924431,0.12631573610416372,0.2507862749825681,0.8019793535215807,
ENSG00000162571,0.2975423888475199,0.027266002516808923,0.010684109828937728,2.55201443577072,0.010710208108068896,
ENSG00000186891,24.802143975968963,0.0023643716875643966,0.0024766627736100464,0.954660324674735,0.3397494999763694,0.7078609927025782
ENSG00000186827,7.37068648554057,-0.0058846782912005515,0.0030993322792664956,-1.898692286260204,0.05760494636489018,0.31843158680220457
ENSG00000078808,39.53648387493653,-0.0021743753899961995,0.000996515593828228,-2.1819782886117105,0.029111135136511385,0.22679478738127
ENSG00000176022,2.628433590293405,0.0036931380257588155,0.004445775737626703,0.8307072249511017,0.40613904384142485,0.7539216023180512
ENSG00000184163,0.26750804020930596,0.00950456271729829,0.008447574360245612,1.125123297171183,0.26053679031506793,
ENSG00000260179,0.15781245558705942,0.02810904812601144,0.011274384590859998,2.4931780443962404,0.012660534368980209,
ENSG00000160087,18.553761760541445,-0.00021566510477733227,0.0011641994811591705,-0.18524755273262858,0.8530348727972048,0.9577636544051394
ENSG00000230415,0.06175890682246943,0.027410708921937036,0.02292780547432393,1.1955225698610081,0.2318829234840838,
ENSG00000162572,0.20045192181093785,0.011750203446785621,0.009926211772327788,1.1837550634918694,0.2365100350502637,
ENSG00000131584,3.974393474324248,-0.0015356041763740938,0.002625553333964547,-0.5848687804240312,0.5586359520188968,0.8415455355668767
ENSG00000169972,3.030987348928487,-0.003773881946550285,0.002772030714550418,-1.3614141887898787,0.17338283467406157,0.5405083432471867
ENSG00000127054,11.688827846828485,-0.0003327659485763447,0.0013891709638425961,-0.23954283327077205,0.8106846868760166,0.942018954418647
ENSG00000240731,0.004117603762559233,0.032693460467090325,0.14987736070864294,0.21813474905423122,0.82732412341629,
ENSG00000224051,4.792842256871835,-0.004518713729526401,0.0022922332808791883,-1.9713149474006606,0.04868786269271693,0.29585772009320593
ENSG00000169962,0.06681641267855624,0.025707331823036212,0.0235989644934164,1.0893415187860467,0.2760033101476467,
ENSG00000107404,0.7598974079508127,0.004996175213674403,0.005761495765434466,0.8671663430959147,0.3858508744573673,
ENSG00000162576,0.015769277490364716,0.032130409276815326,0.06833580602855518,0.47018409738796574,0.6382234947574144,
ENSG00000175756,47.63163706766197,-0.0012070856126982095,0.0007050802029385058,-1.7119834136138503,0.08689972515194336,0.3945512575526143
ENSG00000221978,9.778723815995026,-0.0006726868889088115,0.0016083482439523875,-0.4182470378776534,0.6757665078265604,0.8933063129150345
ENSG00000224870,6.876018629597282,-0.0035711597001738533,0.0018684551319564518,-1.9112900487123319,0.05596731718703568,0.31470319799303526
ENSG00000242485,36.284504216163725,-0.0006553283803441953,0.0009015087761890226,-0.7269240163301419,0.46727250403296405,0.7919395529483321
ENSG00000272455,0.08116241047941486,0.023264099589301566,0.017865160463648996,1.3022049052757194,0.19284634878757878,
ENSG00000235098,0.006228335740687428,0.03126695089922024,0.14445099376066595,0.21645369190761665,0.8286341179906505,
ENSG00000225905,0.0,,,,,
ENSG00000205116,0.009331794166042675,0.03202221103765116,0.12457555630143477,0.25705051607529805,0.7971397766749697,
ENSG00000225285,0.0,,,,,
ENSG00000179403,0.00044235944663173325,0.0333525135246693,0.14990737108461277,0.22248748199208976,0.8239344170099735,
ENSG00000215915,1.065750262471728,0.00292613665414455,0.0054428108213606585,0.5376149842762751,0.5908428832071575,
