,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000243485,0.0,,,,,
ENSG00000237613,0.0,,,,,
ENSG00000186092,0.0,,,,,
ENSG00000238009,0.07183968873936179,-0.0010731087501571683,0.0006371806536543575,-1.6841514945607288,0.09215239464789392,
ENSG00000239945,0.0011832241417098427,-0.001345508552164364,0.00484006204764431,-0.2779940709270931,0.7810169101549682,
ENSG00000239906,0.0,,,,,
ENSG00000241860,0.06945108377783087,-0.0013032866062371335,0.0005878458250903766,-2.2170551369260187,0.026619323989468677,
ENSG00000241599,0.0,,,,,
ENSG00000286448,0.0,,,,,
ENSG00000236601,0.0,,,,,
ENSG00000284733,0.0,,,,,
ENSG00000235146,0.0,,,,,
ENSG00000284662,0.0,,,,,
ENSG00000229905,0.0009753599283029228,-0.0013410581462442591,0.004840047034285126,-0.2770754368180088,0.7817221822987657,
ENSG00000237491,1.9536269471085888,-0.00018331466171585321,0.00010445484058948836,-1.7549656931294073,0.07926517609868387,0.4589721159153991
ENSG00000177757,0.0009894128677626244,-0.0013275732936466067,0.004839763537024813,-0.2743054042807051,0.783849931726457,
ENSG00000228794,0.8191829514719101,-0.0003267157465007274,0.00014423791441121902,-2.265116962030304,0.02350550300677034,
ENSG00000225880,0.3673507672784345,-0.0003051430510302736,0.0002130740417124742,-1.4320986666317568,0.15211558602160385,
ENSG00000288531,0.7851295668346538,-0.00017505290028854887,0.00022705321245500735,-0.7709774215294893,0.4407203147062465,
ENSG00000230368,1.8601427209257242,5.170369100082383e-05,0.00010313901109250199,0.5013010155241113,0.616159290694613,0.893264097417996
ENSG00000272438,0.00034085144743321004,-0.0013047835511851846,0.004839819424040989,-0.2695934366277989,0.7874730502606394,
ENSG00000230699,0.012670038762721415,-0.0012771339125191548,0.0027001426259540637,-0.47298757489445376,0.6362220437815305,
ENSG00000241180,0.0,,,,,
ENSG00000223764,0.0,,,,,
ENSG00000187634,0.006385822406366825,-0.0011355394945248383,0.0038971477692467966,-0.29137706901586247,0.7707629503375621,
ENSG00000188976,6.850111437165462,4.7892590283399764e-05,4.8832372119579856e-05,0.9807549419495992,0.3267136028334241,0.7343359878400616
ENSG00000187961,0.16489008189270019,-0.0005351389510247353,0.0003098044582878953,-1.7273442544440112,0.08410585578098732,
ENSG00000187583,0.038882873209858504,-0.0012409831429456082,0.0012252201308298209,-1.0128654530881003,0.31112443171696513,
ENSG00000187642,0.0,,,,,
ENSG00000272512,0.0011654890728162782,-0.001326916817675326,0.004839953096863002,-0.2741590240895851,0.7839624160964613,
ENSG00000188290,0.2189721749971329,-0.0005956198008903606,0.0003120471235019948,-1.9087495318204817,0.05629441014314612,
ENSG00000187608,11.928855579343677,-0.00023098737628395166,8.035685359554553e-05,-2.8745199189426223,0.004046422453881367,0.12455862451785747
ENSG00000224969,0.004564052718417913,-0.0013508538410709377,0.004840095451567588,-0.2790965291053153,0.7801707467156948,
ENSG00000188157,0.08528231908098954,-0.0010269346814221576,0.0005658955668665518,-1.8147070617789924,0.06956893925167727,
ENSG00000242590,0.0,,,,,
ENSG00000273443,0.0,,,,,
ENSG00000237330,0.0034728005974108533,-0.0013616822757558523,0.004839945905860054,-0.28134245758969545,0.7784477483897696,
ENSG00000131591,0.5583227853256678,-0.00015579835362410538,0.00018619771256912288,-0.8367361310427901,0.4027409051069877,
ENSG00000285812,0.003880702730453665,-0.0013050514730145986,0.004839681852501066,-0.2696564594096552,0.7874245603320371,
ENSG00000223823,0.0786775074573652,-0.0007535385554957759,0.0005448966438854041,-1.3829018107409206,0.16669497503540753,
ENSG00000272141,0.006172717396459426,-0.0012503409912327497,0.004839212879286394,-0.25837693493184966,0.7961160156570968,
ENSG00000205231,0.004896101032520129,-0.001287485693338633,0.0048394004787248165,-0.26604239492034887,0.7902065587384173,
ENSG00000162571,0.13899924198648864,-0.0009038227104029652,0.0003977544136647898,-2.272313466179832,0.02306758403940934,
ENSG00000186891,1.1866556914448065,-4.620986643331702e-05,0.000168868577157456,-0.27364396154194,0.7843582465485477,
ENSG00000186827,0.484418843886624,-4.477612870898799e-05,0.00018975635372809065,-0.2359664265743084,0.8134587223027177,
ENSG00000078808,8.011600409189468,-2.4625184706983977e-05,4.60026762128815e-05,-0.5352989594133335,0.5924431458087971,0.8815668555145281
ENSG00000176022,0.7050525515956362,-0.00023795534167300915,0.00018843022956379637,-1.2628299727907786,0.20665029060083895,
ENSG00000184163,0.10362008203336343,-0.0011678894284771805,0.00046570659380856854,-2.5077794560006774,0.012149246997175485,
ENSG00000260179,0.09210573297480136,-0.0009584061903965338,0.0004243230465954988,-2.2586710716897946,0.02390385322027891,
ENSG00000160087,6.994498541949062,-8.449319408298721e-05,5.148071839446434e-05,-1.6412590328590415,0.10074365622556863,0.4961811631435599
ENSG00000230415,0.03371449272832198,-0.0012199731309477312,0.001221560936755365,-0.9987001828890738,0.31793995205441794,
ENSG00000162572,0.10360101531058752,-0.0011884391204263108,0.000489919144544317,-2.4257862417924096,0.015275264439007754,
ENSG00000131584,2.751841350562496,9.416172228551784e-05,8.699670160626861e-05,1.0823596819989432,0.2790927360454175,0.7008926816265987
ENSG00000169972,1.2029325328492517,-0.00012289237740602867,0.00011739379928354542,-1.0468387440907536,0.2951739577503748,
ENSG00000127054,4.5957155109136165,-8.059345499618895e-05,6.310137417025797e-05,-1.2772060205651694,0.20152952201485141,0.6338551522595776
ENSG00000240731,0.0031926769548131953,-0.001355989218333957,0.004840124890087031,-0.2801558325718274,0.7793579507870168,
ENSG00000224051,2.242911956340876,3.058098703285291e-05,9.874065453631142e-05,0.3097101915767319,0.7567813518536721,0.9391771722122476
ENSG00000169962,0.22829930410920196,-0.0007517402546719427,0.00035470458619403375,-2.1193417957689413,0.03406159185690307,
ENSG00000107404,0.2915637284471072,-0.00022932322543093518,0.00023921407506350716,-0.9586527271443115,0.3377337205974765,
ENSG00000162576,0.018309238140429982,-0.0011849254531815774,0.002353701363470752,-0.503430669485739,0.6146615132684246,
ENSG00000175756,18.021050637362922,-4.3704241342205085e-05,3.18994158094328e-05,-1.3700640037828389,0.17066692313798948,0.5929699162491837
ENSG00000221978,4.506169482506094,-0.00010042137815959112,6.187947638577577e-05,-1.622854361816723,0.10462054158307414,0.49814918846047346
ENSG00000224870,2.3838333237412184,-0.00022153729576357902,8.841494318222134e-05,-2.5056544492371082,0.012222500419313803,0.20945207548458114
ENSG00000242485,11.288476740267031,-1.3837152209161172e-05,4.565553406613877e-05,-0.30307721708207414,0.7618310162280468,0.9391771722122476
ENSG00000272455,0.05083900760317776,-0.001403736242505011,0.0009696065531788613,-1.4477379901186236,0.1476903409131572,
ENSG00000235098,0.0642444667566425,-0.0011025797932666,0.0005752857212427325,-1.9165777153043302,0.05529160135076901,
ENSG00000225905,0.0,,,,,
ENSG00000205116,0.0066363471766394564,-0.0013444020690870778,0.004839935496498729,-0.277772724462885,0.7811868302401578,
ENSG00000225285,0.0005280633522555655,-0.001341261618327666,0.004840043174897098,-0.27711769706603534,0.7816897334724069,
ENSG00000179403,0.0011543611756292095,-0.0013504411236490877,0.0048400534720883116,-0.27901367855475784,0.7802343274917064,
