,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000243485,0.0,,,,,
ENSG00000237613,0.0,,,,,
ENSG00000186092,0.0,,,,,
ENSG00000238009,0.318619811179327,-0.0005098910849808427,0.00027236734472236077,-1.8720712848326333,0.06119674205887103,
ENSG00000239945,0.011347974816628126,-0.001065157746814442,0.0027599300691772436,-0.38593649843163375,0.6995436988902601,
ENSG00000239906,0.0,,,,,
ENSG00000241860,0.6225323769294779,0.0001365282263437287,0.0001894781957696536,0.7205484820517525,0.4711873604651102,
ENSG00000241599,0.0,,,,,
ENSG00000286448,0.0,,,,,
ENSG00000236601,0.0,,,,,
ENSG00000284733,0.0,,,,,
ENSG00000235146,0.0,,,,,
ENSG00000284662,0.0,,,,,
ENSG00000229905,0.0014986224036497603,-0.0011612345583280842,0.00483930837155386,-0.2399587852582376,0.8103622077998126,
ENSG00000237491,9.739420431968474,-3.5548139797235676e-05,5.6524605334847775e-05,-0.6288967359727857,0.529416663089885,0.7784035437511829
ENSG00000177757,0.014310120472461071,-0.0009459283544042408,0.0022835353865330306,-0.4142385355544646,0.6786994226569174,
ENSG00000228794,10.552778899132429,-0.00016314172200382,5.160945340789053e-05,-3.1610821512571445,0.0015718416009676175,0.02613983621115487
ENSG00000225880,2.111120433048577,0.00010379748349170855,0.00011372468997720846,0.912708432201579,0.3613959079358846,0.6624323515214176
ENSG00000288531,0.04569184423806441,-0.0010266086369631268,0.001089547481576894,-0.9422339588884403,0.34607287127373787,
ENSG00000230368,7.156040041197311,0.00010757287850149766,5.965646591929732e-05,1.8032056851477118,0.07135591796902163,0.27749523654619523
ENSG00000272438,0.0,,,,,
ENSG00000230699,0.0896152341800545,-0.0008954714018331609,0.0006185710282469992,-1.4476452354564426,0.1477162932358275,
ENSG00000241180,0.0011603640723109618,-0.0011493034058443407,0.0048393159475650285,-0.23749294699855863,0.8122743901917078,
ENSG00000223764,0.0,,,,,
ENSG00000187634,0.05082856059259843,-0.001117623744788638,0.0008360893028825226,-1.3367277166870695,0.18131153124791033,
ENSG00000188976,49.10646015775805,-3.520218962131342e-05,2.3780081174719276e-05,-1.480322517096243,0.13878719687312782,0.4038289674903719
ENSG00000187961,1.4010439644271302,4.641204783054615e-05,0.00012782032260080645,0.3631038232902514,0.7165273286878797,0.8857666764355022
ENSG00000187583,1.6681712064937593,0.00010477679026641017,0.00011912474528283755,0.8795552092694001,0.3791003122763622,0.6789494833870195
ENSG00000187642,0.01947729226739959,-0.0011650183819339305,0.0022343788064064147,-0.5214059400284267,0.6020840143866815,
ENSG00000272512,0.01849689929753568,-0.0011125198569955398,0.001949076348178179,-0.5707933699136122,0.5681397177470837,
ENSG00000188290,2.1506721426141056,-6.966477670060855e-05,0.00013896674323120786,-0.5013053848768897,0.6161562161060532,0.8299393435751043
ENSG00000187608,121.9865492346483,-6.63642544014183e-05,5.095980747456604e-05,-1.3022862073123136,0.1928185648527525,0.4829385399766658
ENSG00000224969,0.10191272330845902,-0.000799339610325342,0.0004443377113269615,-1.7989461392736836,0.07202720106806157,
ENSG00000188157,0.32896008827631623,-0.0001817614772242589,0.00025326388104414155,-0.71767626901595,0.47295691882682656,
ENSG00000242590,0.0,,,,,
ENSG00000273443,0.005513919223459135,-0.0011357155321318263,0.00483910755323236,-0.23469524486456328,0.8144452787164556,
ENSG00000237330,0.008363267045878107,-0.0011061001910367318,0.0032589959562711835,-0.33939906826465926,0.7343091203954124,
ENSG00000131591,4.05763716815684,4.4590167361665256e-05,7.575016473209877e-05,0.5886477939601151,0.5560975655780256,0.7957317139027669
ENSG00000285812,0.1046251953225817,-0.0010361721969386216,0.0005333925786641951,-1.942607074762018,0.052063651454021725,
ENSG00000223823,0.008875932261243611,-0.0010913300071302,0.0032368489495194354,-0.33715815107536184,0.735997682759465,
ENSG00000272141,0.0071306915379529545,-0.0011936083751570472,0.0039047804842449324,-0.3056787391693429,0.7598492626333813,
ENSG00000205231,0.027182031972951888,-0.0011698925524350145,0.001510607640348965,-0.7744516320364684,0.4386637605639534,
ENSG00000162571,0.34357107718778535,-0.00018205738539934342,0.0002795952374009105,-0.6511462322882562,0.514952094830429,
ENSG00000186891,12.765856382722188,2.4893219251600796e-05,7.148577636000567e-05,0.34822618595113797,0.7276703234658148,0.8925781514576975
ENSG00000186827,40.41432951358323,2.2930052041323656e-05,4.53422910536418e-05,0.5057100448276083,0.613060215675904,0.8277405006397487
ENSG00000078808,64.43844607239575,-1.4077970126925249e-05,2.411364966675802e-05,-0.5838174777139812,0.5593431180810748,0.7980319993238246
ENSG00000176022,4.426037464163253,-0.00032576132677366194,0.00011334037220272544,-2.874186138995479,0.004050701533518648,0.04846517158964355
ENSG00000184163,0.6044934867333178,0.00026550148745007587,0.00017792583126923547,1.492203158788798,0.13564589453018694,
ENSG00000260179,0.5104636657784679,1.981949056750028e-05,0.0001989139788972762,0.09963850040793527,0.9206313269951709,
ENSG00000160087,57.853675566246274,1.1150640654284878e-05,2.2108376597807395e-05,0.5043627063685331,0.6140065199255625,0.8281948408298285
ENSG00000230415,0.2329670665471385,-0.00048055068149757875,0.0003307416717481983,-1.4529486984737554,0.14623799837735715,
ENSG00000162572,0.7979420768238871,-0.00027338119714781994,0.00017318774639235048,-1.5785250564349103,0.11444503647406519,
ENSG00000131584,15.935376087323974,-1.5281649350707321e-06,4.3393607299807776e-05,-0.03521636089188422,0.9719072162179887,0.9900978498014673
ENSG00000169972,9.924204973481222,-9.460330022854418e-05,5.1605804794745296e-05,-1.83319106454817,0.06677416224522517,0.26629615026096115
ENSG00000127054,40.0678989111371,-3.3467366039311136e-05,2.548863643401142e-05,-1.313030853021745,0.18917255199170158,0.4792742710410797
ENSG00000240731,0.013515808794847959,-0.0011499626584310434,0.0027252542597576176,-0.42196527326346434,0.6730503650443518,
ENSG00000224051,18.996099595841294,-7.897471785814436e-06,4.0704328599523055e-05,-0.19402044100801047,0.8461598764138705,0.943187921257167
ENSG00000169962,0.1566698637814041,-0.0007493318886844263,0.00037819950526113216,-1.9813137729173962,0.04755609678321199,
ENSG00000107404,2.3919357253951055,-0.00015862645597688525,0.00010204509015008053,-1.554474161800327,0.1200713552525676,0.3732692973395287
ENSG00000162576,0.787419409163268,-5.301596750862187e-05,0.000191791356151412,-0.27642521838558654,0.7822214895376625,
ENSG00000175756,134.61739121867467,3.063653915569913e-05,1.5267513295981174e-05,2.0066489258446234,0.044787057867300265,0.2108644626299641
ENSG00000221978,35.57770132885657,-8.845513713489276e-05,3.054120052312962e-05,-2.8962560613130925,0.003776441174312216,0.046414786582364066
ENSG00000224870,17.5804969808582,3.35917904649741e-05,3.828846795665197e-05,0.8773344105333444,0.3803050271030721,0.6791249340931234
ENSG00000242485,120.60614616734702,2.7573286847198963e-05,1.8893337145556363e-05,1.4594185577048302,0.14444994134535352,0.413198751899109
ENSG00000272455,0.38918133284259454,-0.0002099901627575575,0.000246179729355116,-0.8529953433113302,0.3936618865817768,
ENSG00000235098,0.07623669317371988,-0.0007222414855522994,0.0005480187484160252,-1.3179138261963512,0.18753249674816475,
ENSG00000225905,0.0,,,,,
ENSG00000205116,0.018702109567818818,-0.0011720672212232582,0.0021278044695100516,-0.5508340818050534,0.5817474183845854,
