,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000243485,0.0,,,,,
ENSG00000237613,0.0,,,,,
ENSG00000186092,0.001403999110389334,-0.0010307367562076139,0.004844357440337548,-0.2127705828692512,0.8315059098215764,
ENSG00000238009,0.09340272958686718,-0.0006053876917588514,0.0004652078925774091,-1.3013272161071878,0.19314647519381933,
ENSG00000239945,0.0016772886483242453,-0.0010469901126968937,0.0048446472150394946,-0.21611276656980655,0.8288998485678253,
ENSG00000239906,0.0,,,,,
ENSG00000241860,0.1431864484625658,-0.0009961373562807877,0.00040654345744923484,-2.450260453164901,0.014275291363414603,
ENSG00000241599,0.0,,,,,
ENSG00000286448,0.0,,,,,
ENSG00000236601,0.0,,,,,
ENSG00000284733,0.0,,,,,
ENSG00000235146,0.0,,,,,
ENSG00000284662,0.0,,,,,
ENSG00000229905,0.0,,,,,
ENSG00000237491,2.8838970233425605,-0.00019554330107472278,9.442979302144142e-05,-2.070779727647209,0.0383793855509441,0.2536426707016769
ENSG00000177757,0.014615673378289814,-0.0009994538147554432,0.0026119562898843096,-0.38264568922005643,0.7019824886980908,
ENSG00000228794,2.1343502254597166,-0.00012521517952220163,0.00010424330320594273,-1.201182000869897,0.22968060978737703,0.5670801592575693
ENSG00000225880,0.9254559116959786,-0.00012002337299301728,0.00017154648288941835,-0.6996551078834201,0.484142718283895,
ENSG00000288531,0.03549423065269081,-0.001092110036417476,0.003086834990388155,-0.3537960531800724,0.7234917315489667,
ENSG00000230368,2.3902613292146335,0.00013803362429178564,9.42647369199139e-05,1.4643187771165926,0.14310686902407344,0.4652289531628819
ENSG00000272438,0.0007702916295816554,-0.001049189161864619,0.004844634421056308,-0.2165672516597975,0.8285456094188368,
ENSG00000230699,0.01786165317136791,-0.0010755707454258622,0.002429930010957591,-0.4426344547273604,0.6580301590644813,
ENSG00000241180,0.0,,,,,
ENSG00000223764,0.0005244305257868331,-0.0010504679431384003,0.0048447675076858845,-0.21682525352803955,0.8283445306254967,
ENSG00000187634,0.011415106641732507,-0.0010450716959500455,0.0030371972341789884,-0.34409082300924326,0.7307779841849793,
ENSG00000188976,17.837403606901308,1.2141166504189554e-05,3.8098093603801475e-05,0.3186817332764937,0.7499678677337611,0.9034377749550803
ENSG00000187961,0.5508169242751144,-0.0003584236833504774,0.00022715229369193668,-1.5779003483740763,0.11458850496597602,
ENSG00000187583,0.33206157564666766,-0.0005231921482722986,0.00028007073541374655,-1.8680714623732124,0.06175211069070835,
ENSG00000187642,0.012076489983636664,-0.0009300506459339648,0.002472638697749588,-0.3761368964986384,0.7068151255407922,
ENSG00000272512,0.01622218574294649,-0.001068000038992263,0.0026166298611012533,-0.40815862222973215,0.6831572239996295,
ENSG00000188290,1.9108750149342715,-0.0003412157900789338,0.0001857910016644309,-1.8365571369017408,0.06627529992221683,0.32932022631671515
ENSG00000187608,49.72715390156803,-0.00016265195283063138,5.538184654240908e-05,-2.936918195858265,0.0033149153410861757,0.07161490718926006
ENSG00000224969,0.019739617825217316,-0.0009184407253330243,0.0014839340612770608,-0.618922868137835,0.5359671727113968,
ENSG00000188157,0.1616771233696798,-0.0005036523566447549,0.00035128471385514,-1.4337440166908233,0.15164532616754745,
ENSG00000242590,0.0,,,,,
ENSG00000273443,0.0005699680356253667,-0.0010617997664766694,0.004844642383117546,-0.21916989583726448,0.8265177050273621,
ENSG00000237330,0.0014205538770230405,-0.0010358940303626665,0.004844602199740284,-0.2138243735302354,0.8306840171706109,
ENSG00000131591,1.5511160128815302,3.9391371476229656e-05,0.00011953605048614679,0.3295354942381569,0.741750970190007,
ENSG00000285812,0.017262342729360145,-0.0010659106881404908,0.002300146725572952,-0.4634098669835853,0.6430706074544805,
ENSG00000223823,0.0016091386756939652,-0.0010268179593540061,0.004844517003639987,-0.21195466102864205,0.8321424058931607,
ENSG00000272141,0.0065238023046585,-0.0010308915849856362,0.004139471542534287,-0.24903941829118095,0.803330290364133,
ENSG00000205231,0.007909283164531362,-0.0010379701745280186,0.00407790802739958,-0.25453496438709927,0.7990822956597443,
ENSG00000162571,0.2975423888475199,-0.0005417379961168667,0.00031957439684762,-1.6951858517476264,0.09004016999219878,
ENSG00000186891,24.802143975968963,-0.000272931923659585,7.914999156870846e-05,-3.448287463463069,0.0005641532673450253,0.02556337574492638
ENSG00000186827,7.37068648554057,-0.00024434209482438916,9.781979302850965e-05,-2.4978798999623266,0.012493851411749595,0.14299957393033602
ENSG00000078808,39.53648387493653,-2.9145737060738933e-05,3.0883287292374185e-05,-0.9437381709017648,0.3453034630040427,0.6746837030509125
ENSG00000176022,2.628433590293405,-0.0006723463303418625,0.00014759057277626063,-4.5554828990406,5.226536781669975e-06,0.001847267160113436
ENSG00000184163,0.26750804020930596,-0.00012731769267334452,0.0002538014230775062,-0.5016429424608233,0.6159187068512735,
ENSG00000260179,0.15781245558705942,-0.0007357594985672728,0.00035094230890486856,-2.096525496920687,0.03603560055636963,
ENSG00000160087,18.553761760541445,-7.060202976156051e-05,3.5671823589149154e-05,-1.979209994272247,0.04779236814532734,0.2836608352400913
ENSG00000230415,0.06175890682246943,-0.0009705937260245887,0.0007193471310063084,-1.3492703094079304,0.1772501585864381,
ENSG00000162572,0.20045192181093785,-0.000610098573940112,0.00031610060434499325,-1.9300772145131628,0.05359727121434536,
ENSG00000131584,3.974393474324248,-2.1041109065777027e-05,7.973483148521554e-05,-0.2638885500081414,0.7918657987829929,0.9236866268048218
ENSG00000169972,3.030987348928487,-1.4963959733748813e-05,8.459570464176671e-05,-0.17688793771641198,0.8595964135234774,0.9496616541502183
ENSG00000127054,11.688827846828485,-5.623236147243586e-05,4.212036820150083e-05,-1.3350396464585559,0.18186337084221793,0.5160387748111231
ENSG00000240731,0.004117603762559233,-0.0010032314508925375,0.004844082947963005,-0.20710451527557108,0.8359282358675635,
ENSG00000224051,4.792842256871835,-9.620206284631242e-05,7.120982784577289e-05,-1.3509660921336313,0.1767062947764546,0.5090892796363721
ENSG00000169962,0.06681641267855624,-0.0010059225604748916,0.0007433169860232135,-1.3532888113544026,0.17596338220593521,
ENSG00000107404,0.7598974079508127,-0.00018632210294069988,0.00017811804113955105,-1.0460596902405923,0.2955334745255105,
ENSG00000162576,0.015769277490364716,-0.0010444522986819364,0.0021849758334576645,-0.47801549229453916,0.632639178491762,
ENSG00000175756,47.63163706766197,2.6307488369416746e-05,2.1287684280693348e-05,1.2358078982445289,0.2165299784263639,0.5536050027127752
ENSG00000221978,9.778723815995026,-3.0313206796049644e-05,4.845380165806724e-05,-0.625610494094279,0.5315704538876349,0.7982590976463532
ENSG00000224870,6.876018629597282,-8.787009836367063e-05,5.864700008340919e-05,-1.4982880324432561,0.1340584320436476,0.452805927193299
ENSG00000242485,36.284504216163725,-3.843286476433483e-05,2.78390995083784e-05,-1.3805354858108159,0.16742183149517464,0.5004530795302311
ENSG00000272455,0.08116241047941486,-0.0010420738845951579,0.0005703344234697342,-1.8271278073231314,0.06768055516321593,
ENSG00000235098,0.006228335740687428,-0.0010726092582957528,0.004668658592461672,-0.22974677566435453,0.8182885452298816,
ENSG00000225905,0.0,,,,,
