srx_id	tf	cell_type	genome	total_reads	align_pct	dup_pct	peak_count	condition
SRX10212065	ATF4	CD4+ T cells	hg38	27841689	94.8	21.0	8983	stimulated
SRX10212066	ATF4	CD4+ T cells	hg38	25607158	96.5	11.9	23383	stimulated
SRX10212067	ATF4	CD4+ T cells	hg38	26489395	96.6	14.9	28785	stimulated
SRX6813406	ATF4	CD4+ T cells	hg38	18361424	49.6	1.0	769	stimulated
SRX6813408	ATF4	CD4+ T cells	hg38	18687499	93.2	3.3	18831	stimulated
SRX10954233	BATF	CD4+ T cells	hg38	45820160	81.8	8.5	12718	NA
SRX10954235	BATF	CD4+ T cells	hg38	36048223	77.8	29.3	24885	NA
SRX666439	BCL6	CD4+ T cells	hg38	89338911	92.3	15.9	12413	NA
SRX850667	BCL6	CD4+ T cells	hg38	183197598	89.9	64.3	11607	NA
SRX6913093	BRD2	CD4+ T cells	hg38	24268223	81.7	18.8	668	NA
SRX6913094	BRD2	CD4+ T cells	hg38	13959816	87.2	11.7	508	NA
SRX6913095	BRD2	CD4+ T cells	hg38	12568459	80.9	11.7	391	NA
SRX6913096	BRD3	CD4+ T cells	hg38	18254308	95.0	6.1	771	NA
SRX6913097	BRD3	CD4+ T cells	hg38	23592194	95.0	6.1	897	NA
SRX6913098	BRD3	CD4+ T cells	hg38	15638581	95.3	4.9	657	NA
SRX103444	BRD4	CD4+ T cells	hg38	48044893	53.9	33.4	10967	NA
SRX103445	BRD4	CD4+ T cells	hg38	30219700	80.9	45.7	3477	NA
SRX198033	BRD4	CD4+ T cells	hg38	182750685	93.8	53.3	12321	NA
SRX198034	BRD4	CD4+ T cells	hg38	180265423	95.5	51.8	11945	NA
SRX6913099	BRD4	CD4+ T cells	hg38	38938630	90.9	14.2	19196	NA
SRX6913100	BRD4	CD4+ T cells	hg38	26348511	90.1	15.5	16933	NA
SRX6913101	BRD4	CD4+ T cells	hg38	18337243	89.2	10.5	7631	NA
SRX6913102	BRD4	CD4+ T cells	hg38	9132576	90.6	6.7	5352	NA
SRX1460851	BRD4	Th1 Cells	hg38	17369622	86.8	10.0	10587	NA
SRX1460852	BRD4	Th1 Cells	hg38	16094190	80.5	7.8	10989	NA
SRX10212068	CEBPB	CD4+ T cells	hg38	29745747	83.0	7.2	15044	NA
SRX10212069	CEBPB	CD4+ T cells	hg38	31080677	89.7	5.1	24143	NA
SRX10212070	CEBPB	CD4+ T cells	hg38	25926480	87.3	4.7	20432	NA
SRX6813410	CEBPB	CD4+ T cells	hg38	12557397	87.2	1.3	12746	NA
SRX017698	CREBBP	CD4+ T cells	hg38	31709238	45.9	27.5	5021	NA
SRX003794	CTCF	CD4+ T cells	hg38	5922166	53.1	9.2	17974	NA
SRX16499729	CTCF	CD4+ T cells	hg38	6489157	89.3	3.0	11896	NA
SRX16499730	CTCF	CD4+ T cells	hg38	43979651	97.8	9.2	33474	NA
SRX16499731	CTCF	CD4+ T cells	hg38	37328207	97.5	9.5	31739	NA
SRX16500124	CTCF	CD4+ T cells	hg38	33692936	95.0	17.8	20639	NA
SRX16500125	CTCF	CD4+ T cells	hg38	28313077	97.7	15.5	20071	NA
SRX9867029	CTCF	CD4+ T cells	hg38	44266678	90.2	22.3	27227	NA
SRX9867040	CTCF	CD4+ T cells	hg38	35862807	95.3	21.4	29319	NA
SRX25152572	CXXC1	CD4+ T cells	hg38	43197855	98.0	26.0	1106	NA
SRX25152576	CXXC1	CD4+ T cells	hg38	40045150	97.7	24.8	1234	NA
SRX25152586	CXXC1	CD4+ T cells	hg38	54313118	96.4	40.7	3482	NA
SRX25152598	CXXC1	CD4+ T cells	hg38	39480447	96.7	38.7	5959	NA
SRX017699	EP300	CD4+ T cells	hg38	25771424	19.1	4.8	534	NA
SRX212440	ETS1	CD4+ T cells	hg38	20563787	81.2	26.7	3470	NA
SRX212441	ETS1	CD4+ T cells	hg38	25698080	87.4	33.5	7261	NA
SRX7894794	ETS1	CD4+ T cells	hg38	34361344	98.8	17.2	8337	NA
DRX440344	EZH2	CD4+ T cells	hg38	23398587	57.6	41.8	108	NA
DRX440349	EZH2	CD4+ T cells	hg38	22805889	95.9	5.1	687	NA
SRX23335291	EZH2	CD4+ T cells	hg38	29739658	72.5	40.2	1025	NA
SRX23335292	EZH2	CD4+ T cells	hg38	29275832	81.4	29.5	947	NA
SRX23335293	EZH2	CD4+ T cells	hg38	30305407	91.7	29.1	1227	NA
SRX4345362	FOS	CD4+ T cells	hg38	39761618	92.1	15.8	3963	NA
SRX6944145	FOS	CD4+ T cells	hg38	11474056	96.4	66.8	246	NA
SRX6944146	FOS	CD4+ T cells	hg38	11590247	93.1	81.0	148	NA
SRX6944149	FOS	CD4+ T cells	hg38	20574913	58.2	96.5	69	NA
SRX6944150	FOS	CD4+ T cells	hg38	22446184	92.5	89.4	336	NA
SRX6944151	FOS	CD4+ T cells	hg38	19109369	87.0	91.6	137	NA
SRX10954237	FOSL1	CD4+ T cells	hg38	45676607	85.4	56.6	1883	NA
SRX10954239	FOSL1	CD4+ T cells	hg38	38957339	83.9	41.4	1331	NA
SRX2821736	FOSL1	CD4+ T cells	hg38	18429336	97.6	7.9	1174	NA
SRX2821737	FOSL1	CD4+ T cells	hg38	19256589	97.6	7.2	1202	NA
SRX2821738	FOSL1	CD4+ T cells	hg38	17543092	98.4	8.8	977	NA
SRX2821739	FOSL1	CD4+ T cells	hg38	15928094	98.5	6.2	940	NA
SRX10954241	FOSL2	CD4+ T cells	hg38	41917713	98.1	16.3	24917	NA
SRX10954243	FOSL2	CD4+ T cells	hg38	45322365	98.2	16.7	27269	NA
SRX212447	FOXP3	CD4+ T cells	hg38	45814311	67.6	67.5	902	NA
SRX212448	FOXP3	CD4+ T cells	hg38	31994576	88.7	58.3	856	NA
SRX092314	GATA3	Th1 Cells	hg38	22427785	83.8	26.5	14162	NA
SRX017703	HDAC1	CD4+ T cells	hg38	17171558	68.4	26.9	2793	NA
SRX017704	HDAC2	CD4+ T cells	hg38	20385095	58.5	29.0	214	NA
SRX017705	HDAC3	CD4+ T cells	hg38	20862833	51.2	5.9	1142	NA
SRX017706	HDAC6	CD4+ T cells	hg38	24661823	56.9	5.0	150	NA
SRX017710	HDAC6	CD4+ T cells	hg38	33390480	51.1	4.9	2025	NA
SRX032595	HMGN1	CD4+ T cells	hg38	16501325	87.7	15.8	1638	NA
SRX237289	INO80	CD4+ T cells	hg38	171357557	66.3	85.8	4145	NA
SRX3279750	IRF4	CD4+ T cells	hg38	11128426	85.9	6.0	7193	NA
SRX017700	KAT2B	CD4+ T cells	hg38	31429011	41.9	27.1	1234	NA
SRX017702	KAT5	CD4+ T cells	hg38	27893631	39.8	10.1	417	NA
SRX017709	KAT5	CD4+ T cells	hg38	36541719	54.2	2.7	2809	NA
SRX017701	KAT8	CD4+ T cells	hg38	25647964	46.6	8.7	1551	NA
SRX4985784	KDM6B	CD4+ T cells	hg38	22735941	97.7	9.1	640	stimulated_24h
SRX4985785	KDM6B	CD4+ T cells	hg38	27240412	95.7	13.3	928	resting
SRX4985786	KDM6B	CD4+ T cells	hg38	24083659	97.3	10.0	832	resting
SRX4985787	KDM6B	CD4+ T cells	hg38	37314657	97.5	10.8	1266	resting
SRX4985788	KDM6B	CD4+ T cells	hg38	24423147	94.5	19.0	907	stimulated_8h
SRX4985789	KDM6B	CD4+ T cells	hg38	25540212	95.3	11.9	870	stimulated_8h
SRX4985790	KDM6B	CD4+ T cells	hg38	25068171	94.7	17.4	854	stimulated_8h
SRX4985791	KDM6B	CD4+ T cells	hg38	29730797	97.2	11.8	1133	stimulated_24h
SRX4985792	KDM6B	CD4+ T cells	hg38	24317093	97.2	7.9	896	stimulated_24h
SRX4985793	KDM6B	CD4+ T cells	hg38	22176852	95.0	14.1	864	stimulated_24h
SRX1460853	MED1	Th1 Cells	hg38	12831204	72.7	10.0	3327	NA
SRX1460854	MED1	Th1 Cells	hg38	12923742	72.4	8.2	4435	NA
SRX25152567	MED12	CD4+ T cells	hg38	38797216	96.9	29.2	1735	NA
