gene_name,direct_effect,lm_coef,tf,condition
BUD31,-0.2241312503146332,0.06773588266957715,ATF4,Stim8hr
EPRS1,-0.2925443913931391,,ATF4,Stim8hr
GOT1,-0.7205983403063954,0.09684165242928018,ATF4,Stim8hr
PRNP,0.373721140971665,-0.17879349145175874,ATF4,Stim8hr
PSAT1,-1.741437911663244,0.00663732247492194,ATF4,Stim8hr
SIAH2,0.3188609768469373,0.11381237262881827,ATF4,Stim8hr
SLC38A1,0.1840195912134705,0.009423533159048536,ATF4,Stim8hr
SLC7A5,0.4383408885912993,0.033767353231030375,ATF4,Stim8hr
WARS1,-0.3591995808232439,0.018275689016663196,ATF4,Stim8hr
XPOT,-0.4606068309322003,-0.03816660795301811,ATF4,Stim8hr
YARS1,-0.4700270538766016,0.05923512849144189,ATF4,Stim8hr
ANKRD11,-0.732790281173855,0.0325185072857769,ATF4,Stim48hr
CEBPB,-0.688678245116791,0.06454467713082501,ATF4,Stim48hr
CEBPG,-0.7764042769847966,,ATF4,Stim48hr
CHAC1,-2.8407966153651056,-0.023408969309043764,ATF4,Stim48hr
DDIT4,-0.4296184779236336,-0.055704735934044035,ATF4,Stim48hr
EIF1,-0.5710287524255965,-0.11656351119582777,ATF4,Stim48hr
EIF2S2,-0.7797597148334279,,ATF4,Stim48hr
EPRS1,-0.4248086128509883,,ATF4,Stim48hr
ERP29,-1.1457826281241068,-0.0236277028500317,ATF4,Stim48hr
GOT1,-1.118424024809198,0.06248158862471455,ATF4,Stim48hr
GPT2,-1.396715348399748,0.012161228245615979,ATF4,Stim48hr
HERPUD1,-0.5870262598195007,0.021635766186502682,ATF4,Stim48hr
IARS1,-0.4187035283598592,0.06580204443591887,ATF4,Stim48hr
MTHFD1L,-0.5119004255889754,0.15926829281116958,ATF4,Stim48hr
NARS1,-0.7891086869189526,,ATF4,Stim48hr
PCK2,-0.8651093500543121,0.021292021750459845,ATF4,Stim48hr
PPP1R15B,-0.5771273080288659,-0.049843076771457814,ATF4,Stim48hr
PRNP,-0.7098838718054766,-0.08911869978969252,ATF4,Stim48hr
PSAT1,-1.806532769325012,-0.04348317924952237,ATF4,Stim48hr
SESN2,-1.372558243369154,-0.07365105569957409,ATF4,Stim48hr
SHMT2,-0.5841966653049806,0.047001204100938644,ATF4,Stim48hr
SLC1A4,-1.053738565739548,0.0322542288950802,ATF4,Stim48hr
SLC38A1,-0.2976345596200234,-0.042939937280867854,ATF4,Stim48hr
SLC38A2,-0.8182995703916136,0.09614075170804658,ATF4,Stim48hr
SLC6A9,-3.3105811064706367,0.05243096808116092,ATF4,Stim48hr
SLC7A1,-0.7384208441820762,,ATF4,Stim48hr
SLC7A5,-1.7323444106394073,0.061749586578739565,ATF4,Stim48hr
STK40,-0.6785713586484734,0.041271488087767455,ATF4,Stim48hr
VEGFA,-1.496775675093347,0.01150595055560554,ATF4,Stim48hr
WARS1,-0.8253646771982793,0.03620337203512345,ATF4,Stim48hr
XPOT,-0.5740107528459761,0.09683626570578696,ATF4,Stim48hr
YARS1,-1.1781793853247022,0.02776846080444958,ATF4,Stim48hr
ZFP69B,-2.0446162873881724,-0.010493996322009598,ATF4,Stim48hr
EIF1,-0.2569135357605633,0.016636784145068844,ATF4,Rest
PSAT1,-1.1944783612818357,0.022934531186591597,ATF4,Rest
SHMT2,-0.8265661278813269,-0.14799214653250337,ATF4,Rest
ADGRG1,-1.4145452497516016,0.03715526947633486,BATF,Stim8hr
BCL9,-0.9958503171667918,0.24218279346480062,BATF,Stim8hr
CD200R1,-1.7607641851146525,-0.061408319039574805,BATF,Stim8hr
DENND1B,-0.9323387515575504,-0.12246129075236739,BATF,Stim8hr
PGAP1,-0.8997451594439526,0.05698473349805852,BATF,Stim8hr
PIK3CG,-0.5952349140771243,-0.08093289546273816,BATF,Stim8hr
RNF149,-0.6191032699917459,-0.05015217715882274,BATF,Stim8hr
RNF213,-0.3546890176083869,0.015294048329325877,BATF,Stim8hr
RUNX3,-0.4337227210993041,0.18063127048267796,BATF,Stim8hr
SRGN,-0.3901962727061845,0.12262952781853637,BATF,Stim8hr
SYTL3,-0.4997025717350682,0.006083957145134253,BATF,Stim8hr
TMEM156,0.7124431485571636,-0.02145093380191118,BATF,Stim8hr
ADGRG1,-1.0661840247223064,-0.11616087526471842,BATF,Stim48hr
DMXL1,-0.6842323811818186,0.1445950945688396,BATF,Stim48hr
G0S2,-1.745072413054948,0.10961702668339572,BATF,Stim48hr
INTS6,-0.4140215697115093,-0.08702662155165661,BATF,Stim48hr
RMI2,0.4640170213869761,0.11686390320250889,BATF,Stim48hr
RNF149,-0.8150889449094932,-0.09743678962620152,BATF,Stim48hr
RPP30,-0.4033199184749987,,BATF,Stim48hr
TMEM156,0.714174774764202,-0.05164913107552183,BATF,Stim48hr
TTF2,0.3975255642037472,,BATF,Stim48hr
ATM,0.4992323777564867,-0.04317146688210904,BATF,Rest
ITGAL,0.3394827169406901,0.028521675268667845,BATF,Rest
RAD23A,-0.4695282908209051,0.1029689954943375,BATF,Rest
ATP6V0B,0.1953614839943547,,BCL6,Stim8hr
FOXJ3,0.2813753064284159,0.05853623142032987,BCL6,Stim8hr
GPBP1L1,0.2030894297722311,0.04765772464140105,BCL6,Stim8hr
USP48,0.2124438329092227,0.06393625207021073,BCL6,Stim8hr
ATP6V0B,0.2561344806040582,,BCL6,Stim48hr
FOXJ3,0.3615749237034616,0.005127726023416034,BCL6,Stim48hr
HERC5,0.9856312332496164,0.060834617451698395,BCL6,Stim48hr
PDIK1L,0.3001518813289588,0.1073004604293328,BCL6,Stim48hr
TMEM59,0.2735576793077022,0.05559445072903896,BCL6,Stim48hr
ATP6V0B,0.2577594724223883,,BCL6,Rest
ADAT1,-0.1858122160876717,0.08176009998275678,CREBBP,Stim8hr
AKAP11,-0.2347573024192808,0.0269860392010196,CREBBP,Stim8hr
ANKFY1,0.1890678186216435,0.09846729160134758,CREBBP,Stim8hr
ARHGAP9,-0.3675163185398188,-0.07025322845774513,CREBBP,Stim8hr
ATP5PB,0.1453287564545209,,CREBBP,Stim8hr
BIRC3,-0.4048469648426704,0.0065341267088896565,CREBBP,Stim8hr
CIAO1,-0.1289025035693878,0.06525422961294067,CREBBP,Stim8hr
DGUOK,-0.118204407746487,-0.00257010393687802,CREBBP,Stim8hr
EMG1,-0.0995513014125621,0.048853287436784826,CREBBP,Stim8hr
ERGIC2,-0.0935197079002849,0.06873389122532424,CREBBP,Stim8hr
ESYT1,0.2914910725496982,0.03115947323278295,CREBBP,Stim8hr
FBXL19,0.2491579153177959,-0.03323893449379414,CREBBP,Stim8hr
HERC1,0.3121088387057272,-0.009569886548877589,CREBBP,Stim8hr
HNRNPH3,0.1190872059953533,-0.003852781359972626,CREBBP,Stim8hr
IL7R,0.788161524397121,0.011764609656260258,CREBBP,Stim8hr
KIAA1143,0.189595637932588,0.21126234250854506,CREBBP,Stim8hr
LAMP1,0.1823587124328136,0.06150408229247709,CREBBP,Stim8hr
LRSAM1,0.2087786262545558,-0.007836114555786073,CREBBP,Stim8hr
LY9,-1.0694174928167652,-0.11144508185061183,CREBBP,Stim8hr
MAK16,-0.1601458327689469,,CREBBP,Stim8hr
MAP2K2,0.2350023042974594,0.03753502981104872,CREBBP,Stim8hr
MBOAT7,-0.6208305109392296,-0.006413937877403125,CREBBP,Stim8hr
MITD1,0.1861543497690651,-0.07333743759305317,CREBBP,Stim8hr
MTA2,0.0823853307571007,0.0036835594133768127,CREBBP,Stim8hr
NCOA4,0.1424191385055013,0.039877701379078874,CREBBP,Stim8hr
NME1,-0.078816539235439,-0.00909539774530081,CREBBP,Stim8hr
PIK3R2,0.3845271399600493,0.06538293897883628,CREBBP,Stim8hr
PRKAG1,-0.1670236173791007,0.11854881761709343,CREBBP,Stim8hr
PTPN4,0.4139109564857544,0.010368153311583394,CREBBP,Stim8hr
RNF167,-0.1561480113600353,-0.030638447242298795,CREBBP,Stim8hr
SH2B1,0.1841665557120556,0.15102758732311233,CREBBP,Stim8hr
SH2D2A,-0.4228493793157784,-0.020525181894715402,CREBBP,Stim8hr
SLC25A11,0.1195408780523356,0.03520416536755918,CREBBP,Stim8hr
SNRPB2,-0.0695498460544147,-0.08468391352789073,CREBBP,Stim8hr
STXBP3,0.1991277381969241,-0.07519106550699053,CREBBP,Stim8hr
STXBP4,0.2835083905894182,-0.06332801262496286,CREBBP,Stim8hr
SUCLA2,0.2508517675147684,0.06853664712351146,CREBBP,Stim8hr
TBL1X,-0.2431267506673178,-0.04074959309017767,CREBBP,Stim8hr
TMEM18,-0.1701845816267539,0.042522550189082235,CREBBP,Stim8hr
TNFAIP3,-0.5109146005377632,0.06017179423127843,CREBBP,Stim8hr
TSSC4,-0.1389588886298413,0.14811937908914263,CREBBP,Stim8hr
WDR77,0.0983394596534694,-0.04863334825607672,CREBBP,Stim8hr
AHSA1,-0.1708099435739298,0.035146423830487425,CREBBP,Stim48hr
ARHGAP9,-0.4026857946187023,-0.08809731584798192,CREBBP,Stim48hr
ARL4A,-0.5913693457955937,-0.017995465833372654,CREBBP,Stim48hr
ARSG,-0.4782242325699592,0.0023677143579982312,CREBBP,Stim48hr
ATP5PB,-0.0964382204677222,,CREBBP,Stim48hr
BIRC2,0.2216892449882282,-0.04390540438454524,CREBBP,Stim48hr
BIRC3,-0.3853909862320795,-0.022316204278189235,CREBBP,Stim48hr
C9orf72,-0.3494228253541221,0.009963098144932304,CREBBP,Stim48hr
CCDC59,-0.1748128418953216,0.035524517166634975,CREBBP,Stim48hr
CCT8,-0.1219847394295807,,CREBBP,Stim48hr
CD55,0.3854408946943171,-0.0035172061683317905,CREBBP,Stim48hr
CREM,-0.2289118409240676,0.04699692721841741,CREBBP,Stim48hr
DENR,-0.1155152797332336,0.014589643202435386,CREBBP,Stim48hr
EIF2A,-0.1208020304637402,-0.07310419269424376,CREBBP,Stim48hr
EIF3D,-0.1132179780242763,,CREBBP,Stim48hr
EMG1,-0.2306022172376485,0.006949963824174824,CREBBP,Stim48hr
ESYT1,0.187398304541895,0.0021069373359217307,CREBBP,Stim48hr
HNRNPUL1,0.1263747102978713,-0.06015955794714667,CREBBP,Stim48hr
HSPE1,-0.2527815224878783,-0.009989203967939047,CREBBP,Stim48hr
IRGQ,-0.2427063886838558,0.015754680946742487,CREBBP,Stim48hr
LAMP1,0.2488054551039179,0.1227953582161546,CREBBP,Stim48hr
