gene_name,chrom,tss,strand
MT-ND1,chrM,3307,+
MT-ND2,chrM,4470,+
MT-CO1,chrM,5904,+
MT-CO2,chrM,7586,+
MT-ATP8,chrM,8366,+
MT-ATP6,chrM,8527,+
MT-CO3,chrM,9207,+
MT-ND3,chrM,10059,+
MT-ND4L,chrM,10470,+
MT-ND4,chrM,10760,+
MT-ND5,chrM,12337,+
MT-ND6,chrM,14673,-
WASHC1,chr9,73865,-
MT-CYB,chrM,14747,+
FAM110C,chr2,46870,-
POLR3K,chr16,53608,-
TUBB8,chr10,74163,-
TUBB8B,chr18,73545,-
ZNF595,chr4,53286,+
SNRNP25,chr16,53828,+
RHBDF1,chr16,76355,-
OR4F5,chr1,65419,+
IQSEC3,chr12,66767,+
MPG,chr16,77007,+
NPRL3,chr16,138673,-
DEFB125,chr20,87250,+
PLEKHG4B,chr5,92168,+
OR4F17,chr19,107104,+
FOXD4,chr9,118417,-
ZNG1A,chr9,179147,-
ZNF718,chr4,124501,+
ZMYND11,chr10,130088,+
SCGB1C2,chr17,137569,+
DEFB126,chr20,142590,+
HBZ,chr16,142728,+
DOC2B,chr17,181650,-
HBM,chr16,153892,+
DEFB127,chr20,157454,+
USP14,chr18,158383,+
OR4F21,chr8,167024,-
BET1L,chr11,207399,-
HBA2,chr16,172876,+
HBA1,chr16,176680,+
HBQ1,chr16,180459,+
DEFB128,chr20,189711,-
LUC7L,chr16,229463,-
SLC6A12,chr12,214157,-
LRRC14B,chr5,191495,+
FAM20C,chr7,192571,+
SCGB1C1,chr11,193078,+
CIMAP1A,chr11,196761,+
CHL1,chr3,196763,+
CCDC127,chr5,218153,-
RIC8A,chr11,207708,+
RPH3AL,chr17,386254,-
THOC1,chr18,268047,-
DOCK8,chr9,214865,+
SIRT3,chr11,236931,-
SH3YL1,chr2,266398,-
ENSG00000286001,chr5,218298,+
SDHA,chr5,218303,+
SLC6A13,chr12,262873,-
DEFB129,chr20,227258,+
ZNF596,chr8,232137,+
FAM234A,chr16,234521,+
PSMD13,chr11,236976,+
DEFB132,chr20,257724,+
ACP1,chr2,264140,+
RGS11,chr16,275944,-
ZNF732,chr4,305474,-
C20orf96,chr20,290778,-
PDCD6,chr5,271621,+
PDCD6-AHRR,chr5,304184,+
DIP2C,chr10,689668,-
PLCXD1,chrX,276322,+
NLRP6,chr11,278407,+
ALKAL2,chr2,288851,-
KDM5A,chr12,389320,-
ARHGDIG,chr16,280450,+
PLPP2,chr19,291403,-
PDIA2,chr16,283164,+
AXIN1,chr16,352723,-
PGGHG,chr11,289126,+
FOXL3,chr7,290170,+
DUSP22,chr6,291630,+
ZCCHC3,chr20,297570,+
IFITM5,chr11,299526,-
GTPBP6,chrX,318798,-
IFITM2,chr11,303655,+
MIER2,chr19,344796,-
ENSG00000288681,chr11,308408,+
IFITM1,chr11,310041,+
COLEC12,chr18,500701,-
IFITM3,chr11,329475,-
AHRR,chr5,321714,+
SOX12,chr20,325552,+
PPP2R3B,chrX,386907,-
ZNF141,chr4,337814,+
NRSN2,chr20,346782,+
SPMAP2,chr19,376026,-
TRIB3,chr20,362835,+
MRPL28,chr16,371289,-
B4GALNT4,chr11,369499,+
PGAP6,chr16,387113,-
CCDC77,chr12,389273,+
IRF4,chr6,391739,+
PKP3,chr11,392614,+
NME4,chr16,396725,+
DECR2,chr16,401858,+
C2CD4C,chr19,409147,-
SIGIRR,chr11,417409,-
FBXO25,chr8,406428,+
RBCK1,chr20,407498,+
LIAT1,chr17,410325,+
SHC2,chr19,461033,-
ANO9,chr11,442011,-
TBC1D20,chr20,462550,-
RAB11FIP3,chr16,425649,+
ZNF721,chr4,499156,-
RFLNB,chr17,445939,-
EXOC3,chr5,443175,+
PTDSS2,chr11,448268,+
OR4F29,chr1,451678,-
B4GALNT3,chr12,459939,+
CIMAP1D,chr19,474983,-
KANK1,chr9,470291,+
SLC9A3,chr5,524449,-
CSNK2A1,chr20,543835,-
EXOC2,chr6,693139,-
MADCAM1,chr19,489176,+
TDRP,chr8,545781,-
RNH1,chr11,507300,-
PDGFA,chr7,520296,-
PIGG,chr4,499210,+
TPGS1,chr19,507497,+
VPS53,chr17,721717,-
CAPN15,chr16,527712,+
CDC34,chr19,531760,+
HRAS,chr11,537287,-
LRRC56,chr11,537527,+
GZMM,chr19,544034,+
PRKAR1B,chr7,727650,-
LMNTD2,chr11,560738,-
PRR35,chr16,560394,+
RASSF7,chr11,560404,+
NINJ2,chr12,663589,-
PIGQ,chr16,566995,+
NHLRC4,chr16,567005,+
BSG,chr19,571277,+
TMEM271,chr4,576295,-
PHRF1,chr11,576470,+
CETN1,chr18,580380,+
RAB40C,chr16,589357,+
HCN2,chr19,589881,+
CLUL1,chr18,596988,+
TCF15,chr20,610309,-
CEP72,chr5,612340,+
IRF7,chr11,615979,-
ERICH1,chr8,738106,-
CDHR5,chr11,626078,-
POLRMT,chr19,633537,-
SHOX,chrX,624344,+
PDE6B,chr4,625573,+
SCT,chr11,627181,-
WFIKKN1,chr16,630985,+
METTL26,chr16,636366,-
MCRIP2,chr16,636817,+
DRD4,chr11,637269,+
FGF22,chr19,639879,+
DEAF1,chr11,707118,-
SRXN1,chr20,653200,-
ENSG00000270299,chr20,675800,-
RNF126,chr19,663233,-
WDR90,chr16,649325,+
HUS1B,chr6,657100,-
TYMS,chr18,657653,+
TPPP,chr5,693352,-
SCRT2,chr20,675802,-
TMEM18,chr2,677406,-
RHOT2,chr16,668100,+
ENOSF1,chr18,712662,-
ATP5ME,chr4,674330,-
MYL5,chr4,673580,+
RHBDL1,chr16,675671,+
FSTL3,chr19,676392,+
STUB1,chr16,680224,+
JMJD8,chr16,684363,-
SLC49A3,chr4,689271,-
WDR24,chr16,690444,-
PRSS57,chr19,695498,-
OR4F16,chr1,686654,-
FBXL16,chr16,705801,-
EPS8L2,chr11,694438,+
TMEM80,chr11,695591,+
PCGF3,chr4,705748,+
PALM,chr19,708935,+
ZDHHC11B,chr5,784729,-
METRN,chr16,715118,+
ANTKMT,chr16,721097,+
YES1,chr18,812546,-
CCDC78,chr16,726893,-
DNAAF5,chr7,726699,+
HAGHL,chr16,726936,+
CIAO3,chr16,741329,-
TLCD3A,chr17,732546,+
DLGAP2,chr8,737628,+
GEMIN4,chr17,753999,-
TALDO1,chr11,747428,+
MISP,chr19,751112,+
WNK1,chr12,752579,+
GLOD4,chr17,782280,-
SLC52A3,chr20,776015,-
MSLN,chr16,760734,+
GATD1,chr11,777487,-
MSLNL,chr16,782054,-
MRM3,chr17,782353,+
CPLX1,chr4,826129,-
RPUSD1,chr16,788397,-
CEND1,chr11,790113,-
CHTF18,chr16,788046,+
SLC25A22,chr11,798281,-
ZDHHC11,chr5,858973,-
PTBP1,chr19,797075,+
PANO1,chr11,797511,+
GNG13,chr16,800734,-
PIDD1,chr11,809753,-
NXN,chr17,979776,-
ENSG00000293685,chr11,804419,-
RPLP2,chr11,805438,+
LARP4B,chr10,931705,-
PLPPR3,chr19,821955,-
SUN1,chr7,816615,+
PNPLA2,chr11,818914,+
AZU1,chr19,825097,+
CRACR2B,chr11,826144,+
CD151,chr11,832887,+
FAM110A,chr20,833715,+
POLR2L,chr11,842529,-
PRTN3,chr19,840999,+
DMRT1,chr9,841697,+
TSPAN4,chr11,842812,+
GAK,chr4,932373,-
BRD9,chr5,892801,-
ELANE,chr19,851014,+
LMF1,chr16,981297,-
CFD,chr19,859453,+
MED16,chr19,893218,-
CHID1,chr11,915058,-
ANGPT4,chr20,916334,-
GET4,chr7,876554,+
TRIP13,chr5,892884,+
R3HDM4,chr19,913245,-
ADAP1,chr7,955407,-
COX19,chr7,975549,-
ADCYAP1,chr18,904871,+
RAD52,chr12,990053,-
KISS1R,chr19,917287,+
SAMD11,chr1,923923,+
AP2A2,chr11,924881,+
ARID3A,chr19,925781,+
TMEM175,chr4,932387,+
NOC2L,chr1,959309,-
SNTG2,chr2,950849,+
RSPO4,chr20,1002311,-
DGKQ,chr4,986895,-
KLHL17,chr1,960584,+
PLEKHN1,chr1,966482,+
PERM1,chr1,982117,-
DMRT3,chr9,976655,+
SLC26A1,chr4,993440,-
SOX8,chr16,981730,+
CYP2W1,chr7,983181,+
WDR18,chr19,984332,+
IDUA,chr4,986997,+
GTPBP4,chr10,988434,+
ERC1,chr12,990509,+
C7orf50,chr7,1138260,-
TIMM22,chr17,997129,+
HES4,chr1,1000172,-
GRIN3B,chr19,1000419,+
ISG15,chr1,1001138,+
ABR,chr17,1229738,-
NKD2,chr5,1008802,+
TMEM259,chr19,1021123,-
FGFRL1,chr4,1009936,+
MUC6,chr11,1036718,-
IDI2,chr10,1025859,-
AGRN,chr1,1020120,+
CNN2,chr19,1026586,+
IDI1,chr10,1049119,-
ABCA7,chr19,1040107,+
GPR146,chr7,1044546,+
WDR37,chr10,1049538,+
DMRT2,chr9,1049858,+
SLC12A7,chr5,1112063,-
RNF212,chr4,1113564,-
SSTR5,chr16,1063867,+
ARHGAP45,chr19,1065923,+
RNF223,chr1,1074306,-
MUC2,chr11,1074875,+
C1orf159,chr1,1116361,-
GPER1,chr7,1082208,+
POLR2E,chr19,1095380,-
C1QTNF8,chr16,1096244,-
CNTN6,chr3,1092661,+
GPX4,chr19,1103982,+
SBNO2,chr19,1174268,-
PSMF1,chr20,1113263,+
ZFAND2A,chr7,1160759,-
CACNA1H,chr16,1153103,+
MUC5AC,chr11,1157953,+
SPON2,chr4,1208962,-
TTLL10,chr1,1173880,+
ADARB2,chr10,1737525,-
STK11,chr19,1177558,+
TMEM74B,chr20,1185415,-
CRLF2,chrX,1212649,-
SLC6A19,chr5,1201595,+
C20orf202,chr20,1203454,+
TNFRSF18,chr1,1206592,-
TNFRSF4,chr1,1214153,-
CTBP1,chr4,1250333,-
SDF4,chr1,1232031,-
TPSG1,chr16,1225793,-
MUC5B,chr11,1223066,+
SLC6A18,chr5,1225381,+
RAD21L1,chr20,1226044,+
TPSB2,chr16,1232757,-
CBARP,chr19,1238027,-
B3GALT6,chr1,1232237,+
UNCX,chr7,1232872,+
TPSAB1,chr16,1239266,+
ATP5F1D,chr19,1241746,+
C1QTNF12,chr1,1246722,-
MIDN,chr19,1248553,+
TERT,chr5,1295068,-
UBE2J2,chr1,1273855,-
TPSD1,chr16,1256059,+
CIRBP,chr19,1259384,+
SNPH,chr20,1266280,+
CSF2RA,chrX,1268793,+
BHLHA9,chr17,1270444,+
TOLLIP,chr11,1309654,-
FAM174C,chr19,1275530,+
TRARG1,chr17,1279662,+
SCNN1D,chr1,1280436,+
EFNA2,chr19,1285873,+
MAEA,chr4,1289887,+
UBE2I,chr16,1291444,+
ACAP3,chr1,1307930,-
PUSL1,chr1,1308597,+
SDCBP2,chr20,1329139,-
INTS11,chr1,1324687,-
FOXQ1,chr6,1312098,+
ENSG00000274322,chr20,1393086,-
CLPTM1L,chr5,1345099,-
CPTP,chr1,1324756,+
TAS1R3,chr1,1331280,+
BAIAP3,chr16,1333643,+
DVL1,chr1,1349418,-
IL3RA,chrX,1336616,+
YWHAE,chr17,1400222,-
UVSSA,chr4,1345691,+
TSR3,chr16,1351878,-
GNPTG,chr16,1351931,+
MXRA8,chr1,1361777,-
PWWP3A,chr19,1354711,+
UNKL,chr16,1414751,-
FKBP1A,chr20,1393164,-
AURKAIP1,chr1,1375207,-
TPO,chr2,1374066,+
NDUFS7,chr19,1383527,+
CCNL2,chr1,1399335,-
SLC25A6,chrX,1392113,-
FOXF2,chr6,1389576,+
BRSK2,chr11,1389899,+
SLC6A3,chr5,1445440,-
GAMT,chr19,1401570,-
MRPL20,chr1,1407293,-
NKX1-1,chr4,1406442,-
ASMTL,chrX,1453762,-
DAZAP1,chr19,1407569,+
ANKRD65,chr1,1421769,-
UQCC4,chr16,1420747,-
CRK,chr17,1463162,-
TMEM88B,chr1,1425871,+
MICALL2,chr7,1459470,-
PERCC1,chr16,1431078,+
CCDC154,chr16,1444556,-
VWA1,chr1,1434861,+
RPS15,chr19,1438358,+
NSFL1C,chr20,1473842,-
CLCN7,chr16,1475077,-
APC2,chr19,1446302,+
ATAD3C,chr1,1449689,+
LPCAT1,chr5,1523960,-
C19orf25,chr19,1479219,-
P2RY8,chrX,1537185,-
MYO1C,chr17,1492686,-
MOB2,chr11,1501247,-
INTS1,chr7,1504389,-
SIRPB2,chr20,1491481,-
ATAD3B,chr1,1471765,+
PCSK4,chr19,1490752,-
PTX4,chr16,1488981,-
REEP6,chr19,1491181,+
TELO2,chr16,1493360,+
INPP5K,chr17,1516742,-
ADAMTSL5,chr19,1513604,-
PLK5,chr19,1508023,+
IFT140,chr16,1612072,-
ATAD3A,chr1,1512162,+
PITPNA,chr17,1562792,-
TMEM204,chr16,1528688,+
WNT5B,chr12,1529891,+
MAFK,chr7,1530702,+
SIRPD,chr20,1557705,-
TMEM240,chr1,1540624,-
ENSG00000260861,chr20,1620009,-
SSU72,chr1,1574863,-
TMEM184A,chr7,1560821,-
DUSP8,chr11,1572271,-
MEX3D,chr19,1568325,-
SIRPB1,chr20,1620061,-
FBXL14,chr12,1594581,-
PSMG3,chr7,1571005,-
SLC43A2,chr17,1628834,-
MBD3,chr19,1592865,-
ENSG00000267059,chr19,1605445,-
KRTAP5-1,chr11,1585283,-
AKAP17A,chrX,1591604,+
UQCR11,chr19,1605473,-
KRTAP5-2,chr11,1598294,-
FNDC10,chr1,1600135,-
KRTAP5-3,chr11,1608463,-
TCF3,chr19,1652615,-
FOXC1,chr6,1609915,+
CRAMP1,chr16,1612337,+
ASMT,chrX,1615059,+
MIB2,chr1,1615500,+
FAM53A,chr4,1684313,-
KRTAP5-4,chr11,1622138,-
GMDS,chr6,2245605,-
SIRPG,chr20,1657779,-
KRTAP5-5,chr11,1629775,+
PXDN,chr2,1744852,-
MMP23B,chr1,1632163,+
ENSG00000261732,chr16,1632259,+
SCARF1,chr17,1645744,-
CDK11B,chr1,1659012,-
RILP,chr17,1649866,-
PRPF8,chr17,1684867,-
SLC35E2B,chr1,1692795,-
ELFN1,chr7,1665745,+
JPT2,chr16,1678256,+
ADIPOR2,chr12,1688574,+
SLBP,chr4,1712344,-
KRTAP5-6,chr11,1697195,+
CDK11A,chr1,1724357,-
TLCD2,chr17,1710377,-
MAPK8IP3,chr16,1706166,+
TACC3,chr4,1712858,+
TMEM129,chr4,1721358,-
WDR81,chr17,1716523,+
IFITM10,chr11,1750595,-
SLC35E2A,chr1,1739557,-
ENSG00000250644,chr11,1763954,-
SERPINF2,chr17,1742836,+
NADK,chr1,1780457,-
CTSD,chr11,1764573,-
ONECUT3,chr19,1753506,+
CLN8,chr8,1755778,+
SERPINF1,chr17,1762029,+
KBTBD11-OT1,chr8,1763888,+
NME3,chr16,1771561,-
MRPS34,chr16,1773150,-
